foodid,Time,Date,DateFormat,DateTime,Month,Day,Count,Year,WeekDay,Season,Building Number,lat,lon,Room Number,Email Subject
120,7:04:22 PM,10/25/17,10/25/17,10/25/17 7:04 PM,Oct,25,1,2017,Wed,Autumn,1,42.35805556,71.09194444,190,Bertucci's in 1-190 eom
121,9:56:01 PM,10/25/17,10/25/17,10/25/17 9:56 PM,Oct,25,1,2017,Wed,Autumn,32,42.36138889,71.09055556,155,free food outsides stata 32-155 eom
122,7:51:48 PM,10/26/16,10/26/16,10/26/16 7:51 PM,Oct,26,1,2016,Wed,Autumn,46,42.36222222,71.09138889,1,"Tex-mex, Thai, salad"
123,6:25:57 PM,10/26/17,10/26/17,10/26/17 6:25 PM,Oct,26,1,2017,Thu,Autumn,e51,42.36055556,71.08444444,1,Big pan of tortilla chips in E51 lobby (EOM)
124,7:05:15 PM,10/26/17,10/26/17,10/26/17 7:05 PM,Oct,26,1,2017,Thu,Autumn,3,42.35888889,71.09222222,370,Leftover Thai food at 3-370 [eom]
125,1:21:57 PM,10/27/16,10/27/16,10/27/16 1:21 PM,Oct,27,1,2016,Thu,Autumn,11,42.35944444,71.09277778,0,BRING YOUR OWN CONTAINERS BUT _ Blue Ribbon BBQ left over at Copytech _ 11-004
126,8:39:05 PM,10/27/16,10/27/16,10/27/16 8:39 PM,Oct,27,1,2016,Thu,Autumn,14N,42.35916667,71.08916667,1,chinese at the front door on 14N
127,1:30:54 PM,10/27/17,10/27/17,10/27/17 1:30 PM,Oct,27,1,2017,Fri,Autumn,6,42.35944444,71.09027778,122,Outside of 6-122
128,4:50:25 PM,10/27/17,10/27/17,10/27/17 4:50 PM,Oct,27,1,2017,Fri,Autumn,W20,42.35888889,71.09472222,400,W20-400
129,6:53:17 PM,10/27/17,10/27/17,10/27/17 6:53 PM,Oct,27,1,2017,Fri,Autumn,1,42.35805556,71.09194444,1,Free cafe 472 froyo between building 1 and 5(1)
130,6:56:15 PM,10/27/17,10/27/17,10/27/17 6:56 PM,Oct,27,1,2017,Fri,Autumn,1,42.35805556,71.09194444,1,Free cafe 472 froyo between building 1 and 5
131,1:07:52 PM,10/28/16,10/28/16,10/28/16 1:07 PM,Oct,28,1,2016,Fri,Autumn,E39,42.36194444,71.08361111,374,two boxed lunches in E39-374
132,4:00:21 PM,10/28/16,10/28/16,10/28/16 4:00 PM,Oct,28,1,2016,Fri,Autumn,6,42.35944444,71.09027778,120,Leftovers outside 6-120
133,12:15:57 PM,10/28/17,10/28/17,10/28/17 12:15 PM,Oct,28,1,2017,Sat,Autumn,w20,42.35888889,71.09472222,208,Bakers Best Boxed Lunches in Lobdell
134,1:19:11 PM,10/28/17,10/28/17,10/28/17 1:19 PM,Oct,28,1,2017,Sat,Autumn,9,42.35972222,71.09333333,4,Bagels and fruit
135,1:27:18 PM,10/28/17,10/28/17,10/28/17 1:27 PM,Oct,28,1,2017,Sat,Autumn,50,42.35916667,71.08805556,1,Fancy free food in Walker eom
136,3:58:24 PM,10/28/17,10/28/17,10/28/17 3:58 PM,Oct,28,1,2017,Sat,Autumn,1,42.35805556,71.09194444,150,Pizza in 1-150
137,5:27:05 PM,10/28/17,10/28/17,10/28/17 5:27 PM,Oct,28,1,2017,Sat,Autumn,1,42.35805556,71.09194444,150,1-150
138,8:20:08 PM,10/28/17,10/28/17,10/28/17 8:20 PM,Oct,28,1,2017,Sat,Autumn,w20,42.35888889,71.09472222,2,Free food at la Sala de Puerto Rico on the Student Center
139,8:36:33 PM,10/28/17,10/28/17,10/28/17 8:36 PM,Oct,28,1,2017,Sat,Autumn,9,42.35972222,71.09333333,555,Flour cookies outside 9-555 in booth
140,9:22:42 PM,10/28/17,10/28/17,10/28/17 9:22 PM,Oct,28,1,2017,Sat,Autumn,54,42.36027778,71.08916667,1,Pumpkin(s) (Drop)
141,2:24:27 PM,10/29/16,10/29/16,10/29/16 2:24 PM,Oct,29,1,2016,Sat,Autumn,3,42.35888889,71.09222222,270,Small amount of indian food in 3-270
142,4:57:25 PM,10/29/16,10/29/16,10/29/16 4:57 PM,Oct,29,1,2016,Sat,Autumn,32,42.36138889,71.09055556,155,Vegan pizza and leftover salads outside 32-155
143,1:37:10 PM, 3 Oct 2017 ,10/3/17,10/3/17 1:37 PM,Oct,3,1,2017,Tue,Autumn,e14,42.36027778,71.08722222,1,Free Food!(1)
144,3:05:31 PM, 3 Oct 2017 ,10/3/17,10/3/17 3:05 PM,Oct,3,1,2017,Tue,Autumn,33,42.36,71.09361111,336,There is free sliced fruit outside 33-336
145,6:16:46 PM, 3 Oct 2017 ,10/3/17,10/3/17 6:16 PM,Oct,3,1,2017,Tue,Autumn,3,42.35888889,71.09222222,3,"Pizza Building 3, 3rd floor"
146,6:28:41 PM, 3 Oct 2017 ,10/3/17,10/3/17 6:28 PM,Oct,3,1,2017,Tue,Autumn,5,42.35861111,71.09277778,134,"Pizza, soda, and water bottles in 5-134"
147,7:48:33 PM, 3 Oct 2017 ,10/3/17,10/3/17 7:48 PM,Oct,3,1,2017,Tue,Autumn,34,42.36111111,71.09166667,401,Leftover pizza 34-401
148,8:09:40 PM, 3 Oct 2017 ,10/3/17,10/3/17 8:09 PM,Oct,3,1,2017,Tue,Autumn,34,42.36111111,71.09166667,401,Pizza Gone 34-401
149,9:14:29 PM,10/30/16,10/30/16,10/30/16 9:14 PM,Oct,30,1,2016,Sun,Autumn,w16,42.35805556,71.095,1,"Chicken Penne, Mac and Cheese, Salad in Kresge Lobby eom"
150,6:52:07 PM,10/30/17,10/30/17,10/30/17 6:52 PM,Oct,30,1,2017,Mon,Autumn,1,42.35805556,71.09194444,2,Taco bar in 2nd floor stairwell between 1 and 5 EOM
151,4:47:08 PM,10/31/16,10/31/16,10/31/16 4:47 PM,Oct,31,1,2016,Mon,Autumn,36,42.36138889,71.09138889,5,Sandwiches bldg 36 5th floor
152,12:11:01 PM,10/31/17,10/31/17,10/31/17 12:11 PM,Oct,31,1,2017,Tue,Autumn,56,42.36055556,71.08972222,154,Bertucci's outside 56-154
153,5:37:10 PM,10/31/17,10/31/17,10/31/17 5:37 PM,Oct,31,1,2017,Tue,Autumn,e17,42.36138889,71.08777778,1,shish kebab in E17
154,7:28:45 PM,10/31/17,10/31/17,10/31/17 7:28 PM,Oct,31,1,2017,Tue,Autumn,1,42.35805556,71.09194444,190,Sandwiches_chips_drinks in 1-190
155,7:08:30 PM, 4 Oct 2016 ,10/4/16,10/4/16 7:08 PM,Oct,4,1,2016,Tue,Autumn,36,42.36138889,71.09138889,5,Pizza in 36 floor 5 elevator lobby eom
156,7:39:50 PM, 4 Oct 2016 ,10/4/16,10/4/16 7:39 PM,Oct,4,1,2016,Tue,Autumn,e25,42.36166667,71.08694444,401,E25 - 401 (Sandwiches and Chocolate Cake)
157,12:38:25 PM, 4 Oct 2017 ,10/4/17,10/4/17 12:38 PM,Oct,4,1,2017,Wed,Autumn,1,42.35805556,71.09194444,125,Food outside 1-125
158,12:53:50 PM, 4 Oct 2017 ,10/4/17,10/4/17 12:53 PM,Oct,4,1,2017,Wed,Autumn,W11,42.35805556,71.09333333,180,"One Clover egg sandwich, W11-180"
159,4:03:17 PM, 4 Oct 2017 ,10/4/17,10/4/17 4:03 PM,Oct,4,1,2017,Wed,Autumn,W20,42.35888889,71.09472222,202,Free Food in W20-202
160,6:04:17 PM, 4 Oct 2017 ,10/4/17,10/4/17 6:04 PM,Oct,4,1,2017,Wed,Autumn,4,42.35916667,71.09111111,231,"Steak, beans and rice outside in 4-231"
161,6:51:49 PM, 4 Oct 2017 ,10/4/17,10/4/17 6:51 PM,Oct,4,1,2017,Wed,Autumn,w20,42.35888889,71.09472222,1,Free food outside W20 outside of Mezzanine lounge
162,7:02:21 PM, 4 Oct 2017 ,10/4/17,10/4/17 7:02 PM,Oct,4,1,2017,Wed,Autumn,W20,42.35888889,71.09472222,307,Free food outside W20-307
163,7:14:04 PM, 4 Oct 2017 ,10/4/17,10/4/17 7:14 PM,Oct,4,1,2017,Wed,Autumn,4,42.35916667,71.09111111,163,"Subway sandwiches, cookies, and drinks in 4-163"
164,12:20:17 PM, 5 Oct 2017 ,10/5/17,10/5/17 12:20 PM,Oct,5,1,2017,Thu,Autumn,w20,42.35888889,71.09472222,1,Free Flour salad 
165,2:38:53 PM, 5 Oct 2017 ,10/5/17,10/5/17 2:38 PM,Oct,5,1,2017,Thu,Autumn,1,42.35805556,71.09194444,206,Food outside 1-206
166,4:21:40 PM, 5 Oct 2017 ,10/5/17,10/5/17 4:21 PM,Oct,5,1,2017,Thu,Autumn,1,42.35805556,71.09194444,125,Fruit outside 1-125 [eom]
167,6:10:58 PM, 5 Oct 2017 ,10/5/17,10/5/17 6:10 PM,Oct,5,1,2017,Thu,Autumn,2,42.35861111,71.09,449,Food outside 2-449
168,2:24:43 PM, 6 Oct 2016 ,10/6/16,10/6/16 2:24 PM,Oct,6,1,2016,Thu,Autumn,3,42.35888889,71.09222222,5,DuPont 3-5 pm
169,5:47:03 PM, 6 Oct 2016 ,10/6/16,10/6/16 5:47 PM,Oct,6,1,2016,Thu,Autumn,4,42.35916667,71.09111111,231,Leftover tacos from a talk at 4-231
170,7:04:44 PM, 6 Oct 2016 ,10/6/16,10/6/16 7:04 PM,Oct,6,1,2016,Thu,Autumn,34,42.36111111,71.09166667,401,Chinese leftovers 34-401(1)
171,7:11:38 PM, 6 Oct 2016 ,10/6/16,10/6/16 7:11 PM,Oct,6,1,2016,Thu,Autumn,34,42.36111111,71.09166667,401,Claimed all gone from 34-401
172,7:24:50 PM, 6 Oct 2016 ,10/6/16,10/6/16 7:24 PM,Oct,6,1,2016,Thu,Autumn,7,42.35916667,71.09305556,429,Portuguese food in the long lounge 7-429(eom)
173,7:49:05 PM, 6 Oct 2016 ,10/6/16,10/6/16 7:49 PM,Oct,6,1,2016,Thu,Autumn,1,42.35805556,71.09194444,1,"Oasis, 1st floor, between buildings 1 and 5 (eom)"
174,8:48:35 AM, 7 Oct 2016 ,10/7/16,10/7/16 8:48 AM,Oct,7,1,2016,Fri,Autumn,1,42.35805556,71.09194444,163,Pancakes 1-163
175,11:40:55 AM, 7 Oct 2017 ,10/7/17,10/7/17 11:40 AM,Oct,7,1,2017,Sat,Autumn,e14,42.36027778,71.08722222,304,Breakfast burritos outside of 14E-304
176,5:23:23 PM, 7 Oct 2017 ,10/7/17,10/7/17 5:23 PM,Oct,7,1,2017,Sat,Autumn,w20,42.35888889,71.09472222,4,Free El Pelon (Mexican) and Drinks in Twenty Chimneys
177,1:02:43 PM, 8 Oct 2016 ,10/8/16,10/8/16 1:02 PM,Oct,8,1,2016,Sat,Autumn,2,42.35861111,71.09,1,Bertucci's pizza and salad in building 2
178,7:51:56 PM, 1 Nov 2016 ,11/1/16,11/1/16 7:51 PM,Nov,1,1,2016,Tue,Autumn,E35,0,0,401,E35-401
179,12:24:49 PM, 1 Nov 2017 ,11/1/17,11/1/17 12:24 PM,Nov,1,1,2017,Wed,Autumn,w20,42.35888889,71.09472222,202,Lunches Available Outside La Sala (W20)
180,1:26:11 PM, 1 Nov 2017 ,11/1/17,11/1/17 1:26 PM,Nov,1,1,2017,Wed,Autumn,W20,42.35888889,71.09472222,407,Free food in W20-407!
181,8:00:36 PM, 1 Nov 2017 ,11/1/17,11/1/17 8:00 PM,Nov,1,1,2017,Wed,Autumn,9,42.35972222,71.09333333,255,Sandwiches and salad _9-255
182,8:52:59 PM, 1 Nov 2017 ,11/1/17,11/1/17 8:52 PM,Nov,1,1,2017,Wed,Autumn,10,42.35944444,71.09194444,1,Pies and cookies in lobby 10
183,1:25:18 PM,11/10/16,11/10/16,11/10/16 1:25 PM,Nov,10,1,2016,Thu,Autumn,W20,42.35888889,71.09472222,306,Bertucci's pizza outside W20-306 (twenty chimneys)
184,6:50:46 PM,11/10/16,11/10/16,11/10/16 6:50 PM,Nov,10,1,2016,Thu,Autumn,9,42.35972222,71.09333333,2,Thai food Building 9- 2nd floor
185,9:53:50 PM,11/10/17,11/10/17,11/10/17 9:53 PM,Nov,10,1,2017,Fri,Autumn,E51,42.36055556,71.08444444,1,~20 free pizzas at E51 1th floor courtesy of HMMT
186,1:13:48 PM,11/11/16,11/11/16,11/11/16 1:13 PM,Nov,11,1,2016,Fri,Autumn,w20,42.35888889,71.09472222,2,free brazillian food - second floor of student center
187,8:00:08 PM,11/11/16,11/11/16,11/11/16 8:00 PM,Nov,11,1,2016,Fri,Autumn,32,42.36138889,71.09055556,1,"~80 Domino's pizzas, outside Forbes Family Cafe (eom)"
188,9:09:31 PM,11/11/16,11/11/16,11/11/16 9:09 PM,Nov,11,1,2016,Fri,Autumn,10,42.35944444,71.09194444,1,"Pasta, salad, chicken parm in lobby 10 eom"
189,12:20:12 AM,11/11/17,11/11/17,11/11/17 12:20 AM,Nov,11,1,2017,Sat,Autumn,W20,42.35888889,71.09472222,1,stud first floor lounge bring plates and utensils
190,4:58:51 PM,11/11/17,11/11/17,11/11/17 4:58 PM,Nov,11,1,2017,Sat,Autumn,1,42.35805556,71.09194444,115,"Wraps (chicken, beef & falafel wraps) available in 1-115"
191,5:08:53 PM,11/11/17,11/11/17,11/11/17 5:08 PM,Nov,11,1,2017,Sat,Autumn,1,42.35805556,71.09194444,150,"Correction_ Wraps (chicken, beef & falafel wraps) available in 1-150"
192,8:46:35 PM,11/11/17,11/11/17,11/11/17 8:46 PM,Nov,11,1,2017,Sat,Autumn,w20,42.35888889,71.09472222,2,Royal East trays outside Lobdell Dining Room
193,12:53:43 PM,11/12/16,11/12/16,11/12/16 12:53 PM,Nov,12,1,2016,Sat,Autumn,50,42.35916667,71.08805556,1,Dominos pizza in Walker memorial
194,2:01:58 PM,11/12/16,11/12/16,11/12/16 2:01 PM,Nov,12,1,2016,Sat,Autumn,3,42.35888889,71.09222222,270,Blue Ribbon in 3-270
195,7:39:29 PM,11/12/16,11/12/16,11/12/16 7:39 PM,Nov,12,1,2016,Sat,Autumn,50,42.35916667,71.08805556,1,Bolocco burritos and tortilla chips in Walker
196,8:06:51 PM,11/12/16,11/12/16,11/12/16 8:06 PM,Nov,12,1,2016,Sat,Autumn,w20,42.35888889,71.09472222,202,Chinese outside Lobdell
197,8:57:15 PM,11/12/16,11/12/16,11/12/16 8:57 PM,Nov,12,1,2016,Sat,Autumn,2,42.35861111,71.09,290,Fwd_ Brazilian food in 2-290
198,4:57:47 PM,11/12/17,11/12/17,11/12/17 4:57 PM,Nov,12,1,2017,Sun,Autumn,w20,42.35888889,71.09472222,1,W20_Student Center - tray of wild rice
